Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
8,'028,Antigua and Barbuda,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,,O
8,'028,Antigua and Barbuda,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,,O
8,'028,Antigua and Barbuda,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,,O
9,'032,Argentina,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.341,E
9,'032,Argentina,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,,Q
9,'032,Argentina,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,,Q
9,'032,Argentina,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,,Q
9,'032,Argentina,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,,Q
9,'032,Argentina,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.463,E
9,'032,Argentina,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.669,E
9,'032,Argentina,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.656,E
9,'032,Argentina,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.703,E
9,'032,Argentina,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.733,E
9,'032,Argentina,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.117,E
9,'032,Argentina,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,6.8,E
9,'032,Argentina,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,,Q
9,'032,Argentina,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,,Q
9,'032,Argentina,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,,Q
9,'032,Argentina,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,,Q
9,'032,Argentina,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,3.0,E
9,'032,Argentina,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,,Q
9,'032,Argentina,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,,Q
9,'032,Argentina,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,,Q
9,'032,Argentina,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,,Q
1,'051,Armenia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.096,E
1,'051,Armenia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,3.166,E
1,'051,Armenia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,3.237,E
1,'051,Armenia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,3.247,E
1,'051,Armenia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,3.527,E
1,'051,Armenia,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.537,E
1,'051,Armenia,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.973,E
1,'051,Armenia,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.541,E
1,'051,Armenia,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.433,E
1,'051,Armenia,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.488,E
1,'051,Armenia,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.123,E
1,'051,Armenia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,37.1,E
1,'051,Armenia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,37.9,E
1,'051,Armenia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,40.0,E
1,'051,Armenia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,39.0,E
1,'051,Armenia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,41.4,E
1,'051,Armenia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,1.1,E
1,'051,Armenia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,1.1,E
1,'051,Armenia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,1.1,E
1,'051,Armenia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,1.1,E
1,'051,Armenia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,1.2,E
22,'533,Aruba,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.418,E
22,'533,Aruba,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,3.62,E
22,'533,Aruba,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,3.907,E
22,'533,Aruba,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,4.007,E
22,'533,Aruba,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.116,E
22,'533,Aruba,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.797,E
22,'533,Aruba,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.718,E
22,'533,Aruba,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.407,E
22,'533,Aruba,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.907,E
22,'533,Aruba,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.475,E
22,'533,Aruba,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.115,E
22,'533,Aruba,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,,O
22,'533,Aruba,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,,O
22,'533,Aruba,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,,O
22,'533,Aruba,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,,O
22,'533,Aruba,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,,O
22,'533,Aruba,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,,O
22,'533,Aruba,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,,O
22,'533,Aruba,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,,O
22,'533,Aruba,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,,O
22,'533,Aruba,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,,O
10,'036,Australia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,2.259,E
10,'036,Australia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,2.283,E
10,'036,Australia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,2.296,E
10,'036,Australia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,2.389,E
10,'036,Australia,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,2.437,E
10,'036,Australia,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.221,E
10,'036,Australia,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.458,E
10,'036,Australia,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.249,E
10,'036,Australia,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.597,E
10,'036,Australia,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.667,E
10,'036,Australia,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.067,E
10,'036,Australia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,0.7,E
10,'036,Australia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,0.7,E
10,'036,Australia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,0.7,E
10,'036,Australia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,0.7,E
10,'036,Australia,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,0.7,E
10,'036,Australia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,0.2,E
10,'036,Australia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,0.2,E
10,'036,Australia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,0.2,E
10,'036,Australia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,0.2,E
10,'036,Australia,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,0.2,E
11,'040,Austria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,2.772,E
11,'040,Austria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,2.848,E
11,'040,Austria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,2.915,E
11,'040,Austria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,3.004,E
11,'040,Austria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,3.027,E
11,'040,Austria,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.229,E
11,'040,Austria,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.612,E
11,'040,Austria,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.36,E
11,'040,Austria,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.698,E
11,'040,Austria,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.819,E
11,'040,Austria,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.055,E
11,'040,Austria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,0.6,E
11,'040,Austria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,0.8,E
11,'040,Austria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,0.8,E
11,'040,Austria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,1.0,E
11,'040,Austria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,0.9,E
11,'040,Austria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,0.1,E
11,'040,Austria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,0.1,E
11,'040,Austria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,0.1,E
11,'040,Austria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,0.1,E
11,'040,Austria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,0.1,E
52,'031,Azerbaijan,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,2.348,E
52,'031,Azerbaijan,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,2.399,E
52,'031,Azerbaijan,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,2.459,E
52,'031,Azerbaijan,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,2.533,E
52,'031,Azerbaijan,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,2.69,E
52,'031,Azerbaijan,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.448,E
52,'031,Azerbaijan,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.729,E
52,'031,Azerbaijan,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.463,E
52,'031,Azerbaijan,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.317,E
52,'031,Azerbaijan,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.26,E
52,'031,Azerbaijan,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.132,E
52,'031,Azerbaijan,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,0.0,E
52,'031,Azerbaijan,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,0.0,E
52,'031,Azerbaijan,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,0.0,E
52,'031,Azerbaijan,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,0.0,E
52,'031,Azerbaijan,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,0.0,E
52,'031,Azerbaijan,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,0.0,E
52,'031,Azerbaijan,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,0.0,E
52,'031,Azerbaijan,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,0.0,E
52,'031,Azerbaijan,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,0.0,E
52,'031,Azerbaijan,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,0.0,E
12,'044,Bahamas,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,4.276,E
12,'044,Bahamas,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,4.387,E
12,'044,Bahamas,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,4.364,E
12,'044,Bahamas,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,4.488,E
12,'044,Bahamas,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.661,E
12,'044,Bahamas,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.574,E
12,'044,Bahamas,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.848,E
12,'044,Bahamas,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.656,E
12,'044,Bahamas,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.716,E
12,'044,Bahamas,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,1.03,E
12,'044,Bahamas,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.453,E
12,'044,Bahamas,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,,O
12,'044,Bahamas,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,,O
12,'044,Bahamas,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,,O
12,'044,Bahamas,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,,O
12,'044,Bahamas,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,,O
12,'044,Bahamas,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,,O
12,'044,Bahamas,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,,O
12,'044,Bahamas,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,,O
12,'044,Bahamas,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,,O
12,'044,Bahamas,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,,O
13,'048,Bahrain,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.379,E
13,'048,Bahrain,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,3.463,E
13,'048,Bahrain,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,3.573,E
13,'048,Bahrain,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,3.835,E
13,'048,Bahrain,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.036,E
13,'048,Bahrain,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.653,E
13,'048,Bahrain,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,1.006,E
13,'048,Bahrain,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.373,E
13,'048,Bahrain,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.688,E
13,'048,Bahrain,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.474,E
13,'048,Bahrain,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.185,E
